File already downloaded...
0 0 1
Epoch: [0][47/109]	Time 0.438 (0.540)	Data 0.000 (0.036)	Loss 0.507 (0.648)	Prec 67.04% (55.41%)	
Epoch: [0][48/109]	Time 0.445 (0.538)	Data 0.000 (0.035)	Loss 0.135 (0.637)	Prec 70.64% (55.73%)	
Epoch: [0][49/109]	Time 0.432 (0.536)	Data 0.001 (0.035)	Loss 0.471 (0.634)	Prec 66.21% (55.94%)	
Epoch: [0][50/109]	Time 0.431 (0.534)	Data 0.001 (0.034)	Loss 0.301 (0.627)	Prec 69.73% (56.22%)	
Epoch: [0][51/109]	Time 0.433 (0.532)	Data 0.001 (0.033)	Loss 0.547 (0.626)	Prec 62.71% (56.35%)	
Epoch: [0][52/109]	Time 0.435 (0.530)	Data 0.000 (0.033)	Loss 0.256 (0.619)	Prec 68.06% (56.57%)	
Epoch: [0][53/109]	Time 0.433 (0.528)	Data 0.095 (0.034)	Loss 0.255 (0.612)	Prec 67.29% (56.77%)	
Epoch: [0][54/109]	Time 0.440 (0.527)	Data 0.001 (0.033)	Loss 0.148 (0.603)	Prec 73.86% (57.09%)	
Epoch: [0][55/109]	Time 0.440 (0.525)	Data 0.037 (0.033)	Loss 0.177 (0.595)	Prec 70.49% (57.33%)	
Epoch: [0][56/109]	Time 0.441 (0.524)	Data 0.000 (0.033)	Loss 0.230 (0.589)	Prec 63.42% (57.44%)	
Epoch: [0][57/109]	Time 0.437 (0.522)	Data 0.130 (0.035)	Loss 0.494 (0.587)	Prec 62.57% (57.53%)	
Epoch: [0][58/109]	Time 0.448 (0.521)	Data 0.000 (0.034)	Loss 0.243 (0.581)	Prec 71.77% (57.78%)	
Epoch: [0][59/109]	Time 0.443 (0.519)	Data 0.148 (0.036)	Loss 0.202 (0.575)	Prec 83.45% (58.21%)	
Epoch: [0][60/109]	Time 0.438 (0.518)	Data 0.001 (0.035)	Loss 0.492 (0.573)	Prec 73.86% (58.47%)	
Epoch: [0][61/109]	Time 0.531 (0.518)	Data 0.248 (0.039)	Loss 0.351 (0.570)	Prec 72.92% (58.71%)	
Epoch: [0][62/109]	Time 0.438 (0.517)	Data 0.001 (0.038)	Loss 0.312 (0.566)	Prec 67.06% (58.84%)	
Epoch: [0][63/109]	Time 0.502 (0.517)	Data 0.205 (0.041)	Loss 0.272 (0.561)	Prec 67.79% (58.99%)	
Epoch: [0][64/109]	Time 0.434 (0.515)	Data 0.001 (0.040)	Loss 0.509 (0.560)	Prec 63.25% (59.05%)	
Epoch: [0][65/109]	Time 0.444 (0.514)	Data 0.120 (0.041)	Loss 0.329 (0.557)	Prec 68.01% (59.19%)	
Epoch: [0][66/109]	Time 0.443 (0.513)	Data 0.001 (0.041)	Loss 0.285 (0.552)	Prec 78.65% (59.49%)	
Epoch: [0][67/109]	Time 0.447 (0.512)	Data 0.082 (0.041)	Loss 0.251 (0.548)	Prec 73.33% (59.69%)	
Epoch: [0][68/109]	Time 0.443 (0.511)	Data 0.013 (0.041)	Loss 0.431 (0.546)	Prec 70.74% (59.85%)	
Epoch: [0][69/109]	Time 0.452 (0.510)	Data 0.078 (0.042)	Loss 0.270 (0.542)	Prec 61.03% (59.87%)	
Epoch: [0][70/109]	Time 0.444 (0.509)	Data 0.001 (0.041)	Loss 0.128 (0.536)	Prec 69.72% (60.01%)	
Epoch: [0][71/109]	Time 0.445 (0.509)	Data 0.033 (0.041)	Loss 0.394 (0.534)	Prec 79.81% (60.29%)	
Epoch: [0][72/109]	Time 0.448 (0.508)	Data 0.001 (0.040)	Loss 0.256 (0.530)	Prec 63.96% (60.34%)	
Epoch: [0][73/109]	Time 0.441 (0.507)	Data 0.001 (0.040)	Loss 0.390 (0.528)	Prec 65.37% (60.41%)	
Epoch: [0][74/109]	Time 0.451 (0.506)	Data 0.000 (0.039)	Loss 0.381 (0.527)	Prec 66.58% (60.49%)	
Epoch: [0][75/109]	Time 0.438 (0.505)	Data 0.001 (0.039)	Loss 0.471 (0.526)	Prec 69.72% (60.62%)	
